"","DEG","up.results_OO_RO_padj.1","down.results_OO_RO_padj.1"
"287","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10913"
"288","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10953"
"289","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11093"
"290","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11174"
"291","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11188"
"292","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11269"
"293","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11352"
"294","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11370"
"295","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11439"
"296","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11443"
"297","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11521"
"298","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11527"
"299","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11552"
"300","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11564"
"301","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11569"
"302","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11629"
"303","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11650"
"304","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11664"
"305","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11694"
"306","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11736"
"307","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11748"
"308","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11752"
"309","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11791"
"310","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11831"
"311","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11838"
